origen,destino,via,operador,telefono,resolucion,notas
Tunja,Sogamoso,Nobsa,Autoboy,,RESOLUCIÓN 493 DE 1993,
Tunja,Sogamoso,Nobsa,Coflonorte,,RESOLUCIÓN 493 DE 1993,
Tunja,Sogamoso,Nobsa,Cootracero,,RESOLUCIÓN MINISTERIO RUTA TUNJA,
Tunja,Sogamoso,Nobsa,Cootrachica,,RES 493 15-12-93,
Tunja,Duitama,Directo,Autoboy,,RESOLUCIÓN NO. 2634 DEL 31 DE MAYO DE 1993,
Tunja,Duitama,Directo,Cooflotax,,RESOLUCIÓN 0104 DE 1999,
Tunja,Duitama,Directo,Simon Bolivar,,RESO. NO. 3335 HABILITACIÓN INTERMUNICIPAL_ RUTAS Y CAPACIDAD (1),
Tunja,Duitama,Directo,Cootrachica,,RES 457 21--01-93,
Tunja,Santa Sofia,Directo,Autoboy,,RESOLUCIÓN 000599 DE 2005,
Tunja,Toca,Directo,Los Delfines,,RESOLUCIÓN 000599 DE 2005,
Tunja,Toca,Directo,Rapido Duitama,,Resolución 4598,
Tunja,Toca,Directo,Ricaurte,,RESOLUCIÓN 1044,
Tunja,Toca,Directo,Simon Bolivar,,RESO. NO. 3335 HABILITACIÓN INTERMUNICIPAL_ RUTAS Y CAPACIDAD (1),
Tunja,Puente Nacional,Moniquira - Barbosa,Autoboy,,RESOLUCIÓN 000599 DE 2005,
Tunja,Puente Nacional,Moniquira - Barbosa,Ricaurte,,RESOLUCIÓN 1044,
Tunja,Combita,Directo,Autoboy,,RESOLUCIÓN 305 1993,
Tunja,Combita,Directo,Citracom,,RESOLUCIÓN 2913 DE 1994,
Tunja,Combita,Directo,Cooflotax,,RESOLUCIÓN 0104 DE 1999,
Tunja,Combita,Directo,Cootrachica,,RES 315 25-08-93,
Tunja,Combita,Directo,Gran Colombiana,,RESOLUCIÓN 0186,
Tunja,Combita,Directo,Los Delfines,,Resolución Habilitacion,
Tunja,Combita,Directo,Los Muiscas,,RESOLUCIÓN 007,
Tunja,Combita,Directo,Sugamuxi,,RESOLUCIÓN 305 24-08-93,
Tunja,Tuta,El Barne - La Playa,Autoboy,,RESOLUCIÓN 305 1993,
Tunja,Tuta,El Barne - La Playa,Cootrachica,,RES 315 25-08-93,
Tunja,Tuta,El Barne - La Playa,Gran Colombiana,,RESOLUCIÓN 0186,
